gene,systematicName,intensity
TBS1,YBR150C,0.0182481751824818
APD1,YBR151W,0.159790438768828
SPP381,YBR152W,0.0316939890710383
RIB7,YBR153W,0.0283054003724395
CNS1,YBR155W,0.0619161996263678
ICS2,YBR157C,0.0424581005586592
AMN1,YBR158W,0.0017286084701815
IFA38,YBR159W,0.603971962616822
CDC28,YBR160W,0.198552223371251
CSH1,YBR161W,0.0153846153846154
TOS1,YBR162C,0.084171322160149
YSY6,YBR162W-A,0.573556797020484
EXO5,YBR163W,0.0139784946236559
ARL1,YBR164C,0.367225325884544
UBS1,YBR165W,0.00216099405726634
TYR1,YBR166C,0.115942028985507
POP7,YBR167C,0.0215575316626246
PEX32,YBR168W,0.0213675213675214
SSE2,YBR169C,0.599455040871935
NPL4,YBR170C,0.0836791147994467
SEC66,YBR171W,0.258128078817734
SMY2,YBR172C,0.0277555377635442
UMP1,YBR173C,0.33362143474503
ECM31,YBR176W,0.0905726104942303
EHT1,YBR177C,0.836411609498681
FZO1,YBR179C,0.0191740412979351
RPS6B,YBR181C,2.21290322580645
SMP1,YBR182C,0.0037817396002161
,YBR182C-A,0.0148975791433892
YPC1,YBR183W,0.0148975791433892
,YBR184W,0.00223463687150838
MBA1,YBR185C,0.177777777777778
PCH2,YBR186W,0.00297951582867784
GDT1,YBR187W,-1.15648231731787e-18
NTC20,YBR188C,0.0281852171412137
RIM2,YBR192W,0.000270124257158291
MED8,YBR193C,0.0583167660702452
AIM4,YBR194W,0.0409593101589868
MSI1,YBR195C,0.0496770988574267
,YBR196C-B,0.0037243947858473
,YBR197C,0.0358880778588808
KTR4,YBR199W,0.0119180633147114
BEM1,YBR200W,0.0622511762576909
,YBR200W-A,0.0789571694599628
,YBR201C-A,0.474487895716946
DER1,YBR201W,-0.00132538104705103
MCM7,YBR202W,0.0239316239316239
COS111,YBR203W,-0.00148975791433892
LDH1,YBR204C,0.0849162011173184
KTR3,YBR205W,0.0237709346299298
FTH1,YBR207W,0.135042735042735
"DUR1,2",YBR208C,0.0446376811594203
,YBR209W,0.00662251655629139
ERV15,YBR210W,0.0360598065083553
AME1,YBR211C,0.0221058755090169
NGR1,YBR212W,0.186314363143631
MET8,YBR213W,0.0432198811453268
SDS24,YBR214W,0.440379403794038
HPC2,YBR215W,0.0188476036618201
YBP1,YBR216C,0.0633842671194114
ATG12,YBR217W,0.0130353817504655
PYC2,YBR218C,1.05971769815418
,YBR221W-A,0.0160148975791434
PCS60,YBR222C,1.61080074487896
TDP1,YBR223C,0.017286084701815
,YBR225W,0.0364990689013035
,YBR226C,0.0152008686210641
MCX1,YBR227C,0.0761154855643045
SLX1,YBR228W,0.00148975791433892
ROT2,YBR229C,0.0588454376163873
OM14,YBR230C,3.43884892086331
,YBR230W-A,0.350837988826816
SWC5,YBR231C,0.0526819923371648
PBP2,YBR233W,0.012450481041313
DAD3,YBR233W-A,0.0841880341880342
VHC1,YBR235W,0.0367521367521367
ABD1,YBR236C,0.0527156549520767
PRP5,YBR237W,0.0209366391184573
,YBR238C,0.00921924517430136
ERT1,YBR239C,0.00399201596806387
THI2,YBR240C,0.00297951582867784
,YBR241C,0.116410670978173
,YBR242W,0.00403341976375684
GPX2,YBR244W,0.105117565698479
ISW1,YBR245C,0.102962323842393
RRT2,YBR246W,0.00446927374301676
ENP1,YBR247C,0.101754385964912
HIS7,YBR248C,0.263440860215054
ARO4,YBR249C,0.70746887966805
SPO23,YBR250W,0.00648298217179903
MRPS5,YBR251W,0.171478565179353
DUT1,YBR252W,0.572268326417704
SRB6,YBR253W,0.0799539833189531
TRS20,YBR254C,0.0480821177741761
MTC4,YBR255W,0.00561797752808989
RIB5,YBR256C,0.22312263641275
POP4,YBR257W,0.00851970181043664
SHG1,YBR258C,0.0712530712530713
,YBR259W,0.000540248514316586
RGD1,YBR260C,0.0627062706270627
TAE1,YBR261C,0.214092140921409
MIC12,YBR262C,0.202150537634409
SHM1,YBR263W,0.509186351706037
YPT10,YBR264C,0.0264721772015127
TSC10,YBR265W,0.0804970286331712
REI1,YBR267W,0.0608856088560886
MRPL37,YBR268W,0.212374581939799
SDH8,YBR269C,0.394036208732694
BIT2,YBR270C,0.0075634792004322
EFM2,YBR271W,0.0179710144927536
HSM3,YBR272C,0.00192307692307692
UBX7,YBR273C,0.0653700702323069
RIF1,YBR275C,0.00862301266504985
PPS1,YBR276C,0.0172879524581307
DPB3,YBR278W,0.0253353204172876
PAF1,YBR279W,0.142715559960357
SAF1,YBR280C,0.0118854673149649
DUG2,YBR281C,0.00921924517430136
MRPL27,YBR282W,0.214141414141414
SSH1,YBR283C,0.398920377867746
,YBR284W,0.00108049702863317
,YBR285W,0.0540248514316586
APE3,YBR286W,0.0135062128579146
,YBR287W,0.00722495894909687
APM3,YBR288C,0.0721349621873182
SNF5,YBR289W,0.0343574496200859
BSD2,YBR290W,0.029023746701847
